ranking,waku,umaban,bamei,bamei_url,sexage,handicap,jockey,jockey_url,racetime,difference,popular,odds,furlong3,corner_rank,stable,trainer,trainer_url,weight,weight_change,race_id
2,3,5,アンテロープ,https://db.netkeiba.com/horse/2019104920,牝2,54.0,三浦,https://db.netkeiba.com/jockey/01122/,1:38.2,1,3,5.3,34.7,2-2-2,美浦,栗田,https://db.netkeiba.com/trainer/01127/,444,0,202106040805
3,1,1,ヴァロンダンス,https://db.netkeiba.com/horse/2019105291,牝2,54.0,丸田,https://db.netkeiba.com/jockey/01117/,1:38.3,クビ,2,4.7,34.7,4-3-3,美浦,宗像,https://db.netkeiba.com/trainer/00420/,422,0,202106040805
4,4,7,ビュートラン,https://db.netkeiba.com/horse/2019101410,牝2,54.0,木幡巧,https://db.netkeiba.com/jockey/01162/,1:38.4,3/4,11,143.4,34.7,3-4-3,美浦,牧,https://db.netkeiba.com/trainer/01106/,486,0,202106040805
5,4,8,ココリヴァルキリー,https://db.netkeiba.com/horse/2019101252,牝2,52.0,△秋山稔,https://db.netkeiba.com/jockey/01181/,1:38.6,1.1/4,4,8.1,34.7,9-6-6,美浦,古賀慎,https://db.netkeiba.com/trainer/01079/,430,0,202106040805
6,1,2,ライブインステラ,https://db.netkeiba.com/horse/2019104776,牝2,54.0,柴田善,https://db.netkeiba.com/jockey/00641/,1:38.6,クビ,5,13.3,34.8,4-4-5,美浦,小野,https://db.netkeiba.com/trainer/01125/,468,0,202106040805
7,8,15,エコルフリューゲル,https://db.netkeiba.com/horse/2019104929,牝2,54.0,勝浦,https://db.netkeiba.com/jockey/01025/,1:38.7,クビ,9,29.1,34.6,9-10-9,美浦,鈴木慎,https://db.netkeiba.com/trainer/01179/,458,0,202106040805
8,2,4,ブルーゲート,https://db.netkeiba.com/horse/2019100808,牝2,54.0,黛,https://db.netkeiba.com/jockey/01109/,1:38.8,1,8,29.0,34.8,4-6-8,美浦,武井,https://db.netkeiba.com/trainer/01147/,424,0,202106040805
9,7,14,カルミチャン,https://db.netkeiba.com/horse/2019101845,牝2,54.0,石川,https://db.netkeiba.com/jockey/01150/,1:39.5,4,7,28.0,35.6,7-6-6,栗東,北出,https://db.netkeiba.com/trainer/01078/,432,0,202106040805
10,7,13,キタノキャスター,https://db.netkeiba.com/horse/2019100129,牝2,54.0,的場,https://db.netkeiba.com/jockey/01108/,1:39.6,アタマ,15,264.5,35.4,7-10-11,美浦,粕谷,https://db.netkeiba.com/trainer/01096/,452,0,202106040805
11,5,9,シェーネンターク,https://db.netkeiba.com/horse/2019100770,牝2,54.0,柴田大,https://db.netkeiba.com/jockey/01009/,1:39.9,2,14,225.2,35.7,11-10-9,美浦,土田,https://db.netkeiba.com/trainer/00417/,442,0,202106040805
